German,English,Gender,Box,Passes,Fails
Kino,Movie theatre,N,0,0,0
Zoo,Zoo,M,1,2,0
Klub,Club,M,1,2,0
Bahnhof,Train station,M,0,1,1
Lager,Camp,N,0,1,2
Land,Country,N,1,2,0
Apartment,Apartment,N,1,2,0
Weltraum,Outer space,M,0,6,4
Bank,Bank,F,1,2,0
Haus,House,N,1,2,0
Marktplatz,Marketplace,M,1,2,0
Zimmer,Room,N,1,2,0
Bibliothek,Library,F,1,2,0
Stadt,Town,F,1,8,2
Park,Park,M,1,2,0
Supermarkt,Supermarket,M,1,2,0
Bar,Bar,F,1,2,0
Hafen,Port,M,0,3,1
Museum,Museum,N,1,2,0
Restaurant,Restaurant,N,1,2,0
Cafe,Cafe,N,1,2,0
Büro,Office,N,0,1,1
Bäckerei,Bakery,F,0,0,0
Brücke,Bridge,F,1,6,2
Geschäft,Shop,N,0,18,13
Kirche,Church,F,1,2,0
Einkaufszentrum,Mall,N,0,11,7
Schule,School,F,0,3,1
Polizeistation,Police station,F,0,0,0
Universität,University,F,1,6,1
Apotheke,Pharmacy,F,1,2,0
Markt,Market,M,1,2,0
Krankenhaus,Hospital,N,0,7,3
Flughafen,Airport,M,0,9,7
Gericht,Court,N,0,5,3
Bauernhof,Farm,M,0,6,4
Hotel,Hotel,N,1,2,0
Straße,Street,F,0,6,2
